Time,Mag,MagO,dM
0.023768355251518995,0.033729433272395,-1.681603979615553,1.715333412887948
0.043333333333333335,-0.1686471663619745,-1.824040706845535,1.6553935404835607
0.058267824497257995,-0.371023765996344,-1.972937431289788,1.601913665293444
0.07666666666666667,-0.5823948811700194,-2.121834155734041,1.5394392745640215
0.11,-0.7937659963436947,-2.0959164660888323,1.3021504697451376
0.121986347820959,-1.00513711151737,-2.236271389252913,1.231134277735543
0.14333333333333334,-1.153546617915905,-2.376626312416993,1.223079694501088
0.155624668278587,-1.30195612431444,-2.3070830660811485,1.0051269417667086
0.17666666666666667,-1.4166361974405848,-2.237539819745304,0.8209036223047192
0.183956625582355,-1.5313162705667298,-2.3407751556647334,0.8094588850980036
0.21000000000000002,-1.612266910420475,-2.444010491584163,0.8317435811636882
0.219401574570974,-1.6932175502742202,-2.5433008964184225,0.8500833461442023
0.24333333333333332,-1.794405850091405,-2.642591301252682,0.8481854511612767
0.251288405968037,-1.89559414990859,-2.6261121104090694,0.7305179605004795
0.27666666666666667,-2.04063071297989,-2.609632919565457,0.5690022065855671
0.28315415462640803,-2.18566727605119,-2.789544373908578,0.6038770978573882
0.31,-2.2430073126142602,-2.9694558282516987,0.7264485156374385
0.31506206876216303,-2.30034734917733,-2.946935371758473,0.6465880225811431
0.3433333333333333,-2.452129798903105,-2.9244149152652477,0.4722851163621429
0.34603747714808003,-2.60391224862888,-3.0086534810700942,0.4047412324412143
0.37666666666666654,-2.6612522851919547,-3.092892046874941,0.4316397616829861
0.37971958483222296,-2.7185923217550294,-3.0823266454035103,0.3637343236484809
0.41000000000000003,-2.7658135283363796,-3.0717612439320794,0.3059477155956998
0.413406557763755,-2.8130347349177303,-3.120773348630001,0.30773861371227085
0.44333333333333336,-2.87374771480804,-3.1697854533279233,0.29603773851988313
0.446199946924574,-2.93446069469835,-3.188018781642923,0.2535580869445728
0.47639529397888797,-2.7927970749543,-3.206252109957923,0.413455035003623
0.4766666666666667,-2.9175959780621596,-3.2244854382729224,0.3068894602107628
0.5091578699062329,-3.04239488117002,-3.244321439633482,0.20192655846346197
0.51,-3.0491407678245,-3.2641574409940413,0.21501667316954132
0.5433333333333333,-3.0558866544789796,-3.2952963220261475,0.23940966754716797
0.5437497788523911,-3.0626325411334596,-3.3060257461404072,0.2433932050069476
0.57569337146901,-3.0289031078610598,-3.3167551702546665,0.2878520623936067
0.5766666666666667,-3.133464351005485,-3.327484594368926,0.19402024336344104
0.605804387568556,-3.23802559414991,-3.396135481491403,0.15810988734149278
0.61,-3.214414990859235,-3.4647863686138796,0.25037137775464435
0.640412514006015,-3.1908043875685603,-3.7256043087950808,0.5347999212265204
0.6433333333333333,-3.51460694698355,-3.9864222489762815,0.4718153019927316
0.671305213186295,-3.83840950639854,-4.077179069963539,0.23876956356499912
0.6766666666666666,-3.926106032906765,-4.167935890950797,0.24182985804403145
0.7014243380314921,-4.01380255941499,-3.95337665929166,-0.060425900123330045
0.71,-3.8282906764168203,-3.7388174276325232,-0.08947324878429708
0.7352232116530051,-3.64277879341865,-3.680624242780679,0.03784544936202883
0.7433333333333333,-3.5348446069469848,-3.6224310579288352,0.08758645098185047
0.7680976882703309,-3.42691042047532,-3.512555284669032,0.08564486419371242
0.7766666666666667,-3.3493327239488098,-3.4026795114092296,0.053346787460419876
0.8018446659196791,-3.2717550274223,-3.3405155010043295,0.0687604735820293
0.81,-3.2346526508226647,-3.2783514905994293,0.043698839776764586
0.830249601934305,-3.1975502742230297,-3.2643522746397604,0.06680200041673068
0.8433333333333334,-3.049140767824495,-3.2503530586800915,0.20121229085559644
0.8658048298637729,-2.90073126142596,-3.293702224178415,0.39297096275245513
0.8766666666666667,-3.0356489945155403,-3.337051389676738,0.30140239516119793
0.897675443769535,-3.17056672760512,-3.1134486732691595,-0.05711805433596062
0.91,-2.9951736745886652,-2.8898459568615804,-0.10532771772708482
0.932356548917851,-2.8197806215722103,-2.9311194113947803,0.11133878982256995
0.9433333333333332,-2.6949817184643505,-2.97239286592798,0.2774111474636296
0.9634649407324409,-2.5701828153564903,-2.7504312358289758,0.18024842047248546
0.9766666666666668,-2.323957952468005,-2.528469605729972,0.20451165326196685
0.9928575219673291,-2.07773308957952,-2.4729230550063788,0.3951899654268587
1.01,-1.9563071297989,-2.417376504282786,0.4610693744838861
1.02751267912956,-1.83488117001828,-2.5913545795284865,0.7564734095102064
1.0433333333333334,-2.16542961608775,-2.7653326547741868,0.5999030386864366
1.06106342513416,-2.4959780621572203,-2.7919979818191516,0.2960199196619313
1.0766666666666669,-2.340822669104205,-2.8186633088641164,0.4778406397599113
1.09041221914254,-2.18566727605119,-2.236628764087511,0.05096148803632117
1.11,-2.18566727605119,-1.6545942193109058,-0.5310730567402842
